OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,Current
270,11,YIO CHU KANG NORTH,AMSZ11,
240,3,CHONG BOON,AMSZ03,26500.00
241,5,SHANGRI-LA,AMSZ05,15960.00
217,9,YIO CHU KANG WEST,AMSZ09,24150.00
248,2,CHENG SAN,AMSZ02,28070.00
205,7,SEMBAWANG HILLS,AMSZ07,6850.00
238,4,TOWNSVILLE,AMSZ04,21140.00
227,12,YIO CHU KANG EAST,AMSZ12,4200.00
228,10,YIO CHU KANG,AMSZ10,20.00
249,1,ANG MO KIO TOWN CENTRE,AMSZ01,4810.00
250,6,KEBUN BAHRU,AMSZ06,22620.00
230,8,TAGORE,AMSZ08,7950.00
117,3,KEMBANGAN,BDSZ03,37460.00
167,5,FRANKEL,BDSZ05,34490.00
108,6,BEDOK SOUTH,BDSZ06,46690.00
199,4,BEDOK NORTH,BDSZ04,81840.00
153,2,BEDOK RESERVOIR,BDSZ02,25470.00
92,8,BAYSHORE,BDSZ08,7450.00
77,7,SIGLAP,BDSZ07,6440.00
149,1,KAKI BUKIT,BDSZ01,37150.00
236,1,UPPER THOMSON,BSSZ01,29390.00
181,3,BISHAN EAST,BSSZ03,28310.00
186,2,MARYMOUNT,BSSZ02,29620.00
166,2,LIU FANG,BLSZ02,10.00
115,1,TUKANG,BLSZ01,10.00
124,4,SHIPYARD,BLSZ04,
123,3,SAMULUN,BLSZ03,10.00
173,8,BUKIT BATOK EAST,BKSZ08,12690.00
174,6,BUKIT BATOK WEST,BKSZ06,15000.00
175,7,BUKIT BATOK CENTRAL,BKSZ07,27290.00
255,1,GOMBAK,BKSZ01,9930.00
183,3,BRICKWORKS,BKSZ03,19820.00
185,4,GUILIN,BKSZ04,12940.00
233,5,HILLVIEW,BKSZ05,19300.00
151,9,BUKIT BATOK SOUTH,BKSZ09,14930.00
237,2,HONG KAH NORTH,BKSZ02,26150.00
24,1,MARITIME SQUARE,BMSZ01,3620.00
33,12,DEPOT ROAD,BMSZ12,6540.00
61,15,TELOK BLANGAH RISE,BMSZ15,12150.00
63,16,EVERTON PARK,BMSZ16,7810.00
21,17,CITY TERMINALS,BMSZ17,20.00
28,11,KAMPONG TIONG BAHRU,BMSZ11,9010.00
12,6,ALEXANDRA NORTH,BMSZ06,2620.00
25,14,TELOK BLANGAH WAY,BMSZ14,9230.00
29,13,TELOK BLANGAH DRIVE,BMSZ13,19320.00
42,4,TIONG BAHRU STATION,BMSZ04,15120.00
6,7,ALEXANDRA HILL,BMSZ07,13490.00
40,10,TIONG BAHRU,BMSZ10,12890.00
5,3,REDHILL,BMSZ03,10620.00
32,5,SINGAPORE GENERAL HOSPITAL,BMSZ05,10.00
4,8,HENDERSON HILL,BMSZ08,13320.00
35,2,BUKIT MERAH,BMSZ02,1110.00
7,9,BUKIT HO SWEE,BMSZ09,14390.00
188,7,NATURE RESERVE,BPSZ07,3850.00
245,6,DAIRY FARM,BPSZ06,6940.00
206,5,JELEBU,BPSZ05,31310.00
223,1,SENJA,BPSZ01,20170.00
210,4,BANGKIT,BPSZ04,22270.00
222,3,FAJAR,BPSZ03,27820.00
224,2,SAUJANA,BPSZ02,25920.00
116,6,CORONATION ROAD,BTSZ06,6690.00
211,1,ANAK BUKIT,BTSZ01,21870.00
212,2,SWISS CLUB,BTSZ02,5340.00
134,4,ULU PANDAN,BTSZ04,11020.00
88,8,FARRER COURT,BTSZ08,6180.00
156,5,HILLCREST,BTSZ05,9470.00
136,3,HOLLAND ROAD,BTSZ03,10840.00
169,7,LEEDON PARK,BTSZ07,6440.00
313,1,CENTRAL WATER CATCHMENT,CCSZ01,
221,2,CHANGI WEST,CHSZ02,1300.00
269,3,CHANGI AIRPORT,CHSZ03,10.00
271,1,CHANGI POINT,CHSZ01,540.00
234,1,CHANGI BAY,CBSZ01,
219,1,TECK WHYE,CKSZ01,24320.00
264,6,YEW TEE,CKSZ06,40390.00
